,G,Per,Time,Str,Team,Goal Scorer,Assist,Assist.1,Visitor on Ice,Home on Ice,Season,gameId,Visitor Goalie On Ice,Home Goalie On Ice,Visitor,Home,Visitor_Score,Home_Score,Against
22298,11,3,18:57,PP,COL,92 G.LANDESKOG(11),22 C.WILSON(1),13 A.KERFOOT(7),"['13', '22', '29', '49', '92', '96']","['5', '10', '24', '28', '41']",2018,20187,False,True,COL,CGY,5,6,CGY
22364,3,2,1:15,EV,EDM,39 A.CHIASSON(6),97 C.MCDAVID(12),6 A.LARSSON(4),"['6', '29', '39', '77', '93', '97']","['39', '43', '45', '65', '71', '83']",2018,20197,False,True,EDM,DET,2,1,DET
22420,6,3,19:33,PP,T.B,21 B.POINT(8),9 T.JOHNSON(5),27 R.MCDONAGH(8),"['9', '10', '21', '27', '86', '91']","['5', '10', '41', '56', '74']",2018,20207,False,True,T.B,OTT,3,3,OTT
22429,4,3,19:28,EV,CBJ,18 P.DUBOIS(6),17 B.DUBINSKY(2),3 S.JONES(2),"['3', '8', '9', '13', '17', '18']","['4', '7', '17', '33', '36', '47']",2018,20209,False,True,CBJ,ANA,2,2,ANA
22562,7,2,5:34,EV,BUF,53 J.SKINNER(10),9 J.EICHEL(14),29 J.POMINVILLE(7),"['9', '19', '21', '26', '29', '53']","['8', '13', '26', '31', '65', '92']",2018,20230,False,True,BUF,MTL,4,3,MTL
22649,8,3,19:17,PP,NSH,59 R.JOSI(5),92 R.JOHANSEN(14),9 F.FORSBERG(5),"['9', '10', '15', '59', '76', '92']","['4', '12', '30', '39', '91']",2018,20244,False,True,NSH,DAL,4,4,DAL
22840,11,3,17:31,EV,NYR,72 F.CHYTIL(2),90 V.NAMESTNIKOV(6),22 K.SHATTENKIRK(5),"['22', '26', '72', '77', '90', '93']","['1', '4', '14', '15', '24', '29']",2018,20277,False,True,NYR,NYI,5,6,NYI
22941,10,3,16:56,EV,PIT,72 P.HORNQVIST(8),81 P.KESSEL(14),71 E.MALKIN(18),"['19', '58', '59', '71', '72', '81']","['5', '10', '15', '41', '56', '58']",2018,20295,False,True,PIT,OTT,4,6,OTT
23290,8,3,19:58,EV,CHI,12 A.DEBRINCAT(10),20 B.SAAD(6),88 P.KANE(14),"['7', '12', '19', '20', '56', '88']","['5', '11', '16', '19', '34', '91']",2018,20351,False,True,CHI,FLA,4,4,FLA
23383,5,3,17:17,EV,OTT,61 M.STONE(11),7 B.TKACHUK(6),95 M.DUCHENE(20),"['2', '7', '36', '61', '72', '95']","['13', '18', '30', '72', '77', '90']",2018,20365,False,True,OTT,NYR,2,3,NYR
23486,1,1,12:17,EV,NYI,27 A.LEE(8),13 M.BARZAL(18),24 S.MAYFIELD(8),"['3', '12', '13', '24', '27', '29']","['40', '43', '46', '47', '48', '74']",2018,20382,False,True,NYI,BOS,1,0,BOS
23759,4,3,19:04,EV,EDM,77 O.KLEFBOM(3),97 C.MCDAVID(22),16 J.KHAIRA(7),"['16', '29', '39', '77', '93', '97']","['6', '10', '34', '55', '90', '91']",2018,20426,False,True,EDM,STL,2,2,STL
23776,4,1,19:46,EV,DET,14 G.NYQUIST(7),71 D.LARKIN(15),25 M.GREEN(13),"['14', '21', '25', '26', '27', '71']","['22', '23', '24', '26', '28', '40']",2018,20429,False,True,DET,TOR,3,1,TOR
23815,5,3,18:15,EV,BOS,46 D.KREJCI(3),88 D.PASTRNAK(12),42 D.BACKES(3),"['17', '42', '46', '47', '63', '88']","['9', '21', '27', '70', '81', '86']",2018,20434,False,True,BOS,T.B,2,3,T.B
23969,10,3,19:02,EV,N.J,90 M.JOHANSSON(6),13 N.HISCHIER(12),11 B.BOYLE(2),"['8', '9', '11', '13', '21', '90']","['14', '17', '33', '36', '42', '47']",2018,20458,False,True,N.J,ANA,5,5,ANA
24134,6,3,19:16,SH,VAN,53 B.HORVAT(15),77 N.GOLDOBIN(15),27 B.HUTTON(8),"['6', '27', '40', '53', '77']","['7', '10', '13', '14', '35', '51']",2018,20483,False,True,VAN,NSH,3,3,NSH
24231,6,3,18:20,EV,TOR,16 M.MARNER(8),44 M.RIELLY(25),51 J.GARDINER(18),"['16', '34', '43', '44', '51', '91']","['1', '13', '19', '63', '90', '91']",2018,20497,False,True,TOR,FLA,3,3,FLA
24238,6,3,18:57,EV,DET,26 T.VANEK(4),72 A.ATHANASIOU(9),55 N.KRONWALL(7),"['21', '26', '51', '55', '71', '72']","['1', '4', '24', '27', '47', '51']",2018,20498,False,True,DET,NYI,3,3,NYI
24258,2,3,18:29,EV,N.J,11 B.BOYLE(9),90 M.JOHANSSON(9),63 J.BRATT(11),"['8', '11', '13', '21', '63', '90']","['4', '10', '13', '51', '59', '74']",2018,20502,False,True,N.J,NSH,1,1,NSH
24480,6,2,11:53,EV,OTT,95 M.DUCHENE(14),9 B.RYAN(13),83 C.JAROS(4),"['9', '18', '61', '72', '83', '95']","['1', '16', '37', '45', '47', '63']",2018,20542,False,True,OTT,N.J,2,4,N.J
24514,6,3,18:35,EV,MTL,24 P.DANAULT(5),13 M.DOMI(20),90 T.TATAR(14),"['6', '11', '13', '24', '90', '92']","['3', '19', '26', '29', '41', '88']",2018,20549,False,True,MTL,VGK,3,3,VGK
24545,7,3,7:39,EV,COL,13 A.KERFOOT(6),83 M.NIETO(8),96 M.RANTANEN(43),"['6', '13', '28', '29', '83', '96']","['4', '15', '23', '25', '31', '45']",2018,20555,False,True,COL,ARI,3,4,ARI
24589,3,1,19:18,EV,DET,27 M.RASMUSSEN(6),71 D.LARKIN(20),3 N.JENSEN(7),"['3', '14', '27', '55', '61', '71']","['3', '24', '29', '34', '40', '51']",2018,20563,False,True,DET,TOR,2,1,TOR
