,G,Per,Time,Str,Team,Goal Scorer,Assist,Assist.1,Visitor_On_Ice,Home_On_Ice,Season,gameId,Visitor_Goalie_On_Ice,Home_Goalie_On_Ice,Visitor,Home,Visitor_Score,Home_Score,Difference
15058,3,1,17:19,EV,COL, R.BOURQUE, N.MACKINNON, F.TYUTIN,"['25', '27', '33', '83', '97', '98']","['6', '9', '17', '29', '51', '96']",2016,20296,True,False,EDM,COL,1,2,1
15239,3,2,16:00,EV,CBJ, J.ANDERSON, S.HARTNELL, M.NUTIVAARA,"['5', '11', '13', '62', '88', '90']","['27', '34', '43', '45', '65', '89']",2016,20332,True,False,T.B,CBJ,0,3,3
16825,5,2,13:58,EV,CAR, B.MCGINN, M.TENNYSON, N.HANIFIN,"['7', '10', '13', '31', '43', '58']","['5', '16', '18', '23', '26', '49']",2016,20614,True,False,CBJ,CAR,2,3,1
19125,3,1,14:10,EV,PHI, T.KONECNY, S.GOSTISBEHERE, S.COUTURIER,"['7', '10', '13', '20', '58', '72']","['9', '11', '14', '24', '40', '53']",2016,21018,True,False,CBJ,PHI,2,1,-1
19491,1,1,05:32,EV,COL, J.MITCHELL, C.SODERBERG, B.COMEAU,"['28', '34', '41', '55', '75', '82']","['7', '9', '14', '34', '51', '54']",2016,21085,True,False,STL,COL,0,1,1
20379,3,2,06:57,EV,CBJ, R.MURRAY, A.PANARIN, A.WENNBERG,"['1', '4', '15', '50', '53', '86']","['9', '10', '13', '27', '53', '71']",2017,20013,True,False,NYI,CBJ,0,3,3
20473,7,2,17:02,EV,CGY, J.GAUDREAU, T.BRODIE, C.LAZAR,"['5', '8', '18', '29', '35', '85']","['7', '13', '20', '23', '24', '93']",2017,20027,True,False,WPG,CGY,3,4,1
20734,1,1,15:31,EV,ARI, M.KEMPE, A.DUCLAIR, L.SCHENN,"['33', '35', '43', '52', '59', '73']","['2', '10', '16', '25', '29', '33']",2017,20072,True,False,BOS,ARI,0,1,1
21475,2,1,07:31,EV,COL, C.SODERBERG, E.JOHNSON, M.BARBERIO,"['4', '7', '19', '27', '30', '53']","['6', '9', '10', '20', '34', '44']",2017,20194,True,False,CAR,COL,1,1,0
21930,1,1,11:48,EV,NSH, C.SMITH, K.FIALA, A.BITETTO,"['2', '9', '10', '39', '70', '83']","['2', '8', '9', '15', '22', '52']",2017,20270,True,False,WSH,NSH,0,1,1
22095,1,1,08:14,EV,L.A, T.TOFFOLI, D.DOUGHTY, D.BROWN,"['3', '5', '11', '16', '34', '63']","['8', '11', '19', '23', '24', '73']",2017,20296,True,False,FLA,L.A,0,1,1
22185,1,1,03:31,EV,NSH, K.FIALA, P.SUBBAN, V.ARVIDSSON,"['8', '26', '37', '44', '55', '81']","['9', '14', '22', '33', '76', '92']",2017,20313,True,False,WPG,NSH,0,1,1
22713,2,1,11:14,EV,VAN, A.EDLER, H.SEDIN, D.SEDIN,"['12', '16', '25', '31', '44', '46']","['5', '21', '22', '23', '33', '53']",2017,20402,True,False,TOR,VAN,0,2,2
23182,8,2,17:52,EV,CBJ, N.FOLIGNO, O.BJORKSTRAND, A.WENNBERG,"['1', '6', '10', '25', '50', '66']","['7', '10', '13', '28', '65', '71']",2017,20481,True,False,NYI,CBJ,3,5,2
23483,2,2,11:59,EV,T.B, A.KILLORN, T.JOHNSON, N.KUCHEROV,"['5', '9', '33', '41', '61', '95']","['9', '17', '59', '77', '86', '91']",2017,20533,True,False,OTT,T.B,1,1,0
24160,2,1,14:51,EV,BUF, J.EICHEL, K.OKPOSO, R.O'REILLY,"['8', '16', '26', '29', '35', '44']","['15', '19', '21', '28', '45', '90']",2017,20653,True,False,WPG,BUF,1,1,0
25051,2,2,14:44,EV,DAL, T.SEGUIN, J.SPEZZA, A.RADULOV,"['13', '17', '27', '30', '40', '55']","['3', '14', '23', '47', '90', '91']",2017,20810,True,False,NYR,DAL,1,1,0
26269,5,2,16:48,EV,EDM, R.NUGENT-HOPKINS, C.MCDAVID, A.SEKERA,"['13', '18', '23', '36', '40', '76']","['2', '13', '46', '83', '93', '97']",2017,21007,True,False,NYR,EDM,3,2,-1
